"","ACH_M3","ACH_P6","SOC","GENDER","ID","SID","PID"
"259",2,77,0,"Female",259,"8","10"
"260",3,95,0,"Male",260,"8","10"
"261",2,74,0,"Male",261,"8","10"
"262",10,129,20,"Female",262,"8","10"
"263",5,93,0,"Female",263,"8","10"
"264",10,132,31,"Male",264,"8","10"
"265",2,86,0,"Male",265,"8","10"
"266",2,81,0,"Male",266,"8","10"
"267",7,96,0,"Female",267,"8","10"
"268",9,114,0,"Male",268,"1","11"
"269",2,72,31,"Male",269,"1","11"
"270",4,88,0,"Female",270,"1","11"
"271",2,70,0,"Female",271,"1","11"
"272",3,70,0,"Female",272,"1","11"
"273",10,129,0,"Male",273,"1","11"
"274",1,103,0,"Male",274,"1","11"
"275",10,110,0,"Male",275,"1","11"
"276",7,110,20,"Female",276,"1","11"
"277",8,104,20,"Female",277,"1","11"
"278",2,86,0,"Male",278,"1","11"
"279",8,101,0,"Female",279,"1","11"
"280",5,96,0,"Male",280,"1","11"
"281",2,81,0,"Male",281,"1","11"
"282",8,116,20,"Female",282,"2","12"
"283",5,90,0,"Male",283,"2","12"
"284",3,76,0,"Female",284,"2","12"
"285",6,100,0,"Male",285,"2","12"
"286",2,95,0,"Female",286,"3","12"
"287",4,81,0,"Female",287,"2","12"
"288",2,84,0,"Female",288,"2","12"
"289",5,103,20,"Male",289,"2","12"
"290",5,86,0,"Female",290,"2","12"
"291",2,84,0,"Male",291,"2","12"
"292",5,79,0,"Female",292,"2","12"
"293",3,90,0,"Female",293,"2","12"
"294",3,95,0,"Male",294,"2","12"
"295",4,104,0,"Female",295,"2","12"
"296",4,100,0,"Female",296,"2","12"
"297",6,101,0,"Male",297,"2","12"
"298",2,82,0,"Male",298,"2","12"
"299",10,109,0,"Female",299,"2","12"
"300",8,106,0,"Female",300,"2","12"
"301",2,80,0,"Female",301,"2","12"
"302",7,101,20,"Female",302,"4","13"
"303",9,123,0,"Female",303,"4","13"
"304",5,91,0,"Male",304,"4","13"
"305",10,109,0,"Male",305,"4","13"
"306",9,120,0,"Female",306,"4","13"
"307",10,126,20,"Male",307,"4","13"
"308",10,116,20,"Female",308,"4","13"
"309",9,102,0,"Female",309,"4","13"
"310",7,90,0,"Male",310,"4","13"
"311",4,96,0,"Female",311,"4","13"
"312",10,108,0,"Male",312,"4","13"
"313",10,110,20,"Male",313,"4","13"
"314",5,99,20,"Female",314,"4","13"
"315",6,103,20,"Male",315,"4","13"
"316",4,105,0,"Female",316,"4","13"
"317",2,108,0,"Female",317,"4","13"
"318",2,89,20,"Female",318,"4","13"
"319",10,109,20,"Female",319,"4","13"
"320",9,104,20,"Male",320,"4","13"
"321",6,105,31,"Female",321,"4","13"
"322",10,123,20,"Female",322,"4","13"
"323",5,113,20,"Female",323,"4","13"
"324",3,102,31,"Female",324,"4","13"
"325",10,119,31,"Female",325,"4","13"
"326",10,111,1,"Male",326,"4","13"
"327",3,81,20,"Male",327,"4","13"
"328",3,79,0,"Female",328,"4","13"
"329",2,94,0,"Male",329,"2","14"
"330",4,96,0,"Male",330,"2","14"
"331",6,100,20,"Male",331,"2","14"
"332",6,99,0,"Female",332,"6","14"
"333",6,103,0,"Female",333,"2","14"
"334",3,80,0,"Female",334,"4","14"
"335",10,111,20,"Female",335,"2","14"
"336",6,110,0,"Female",336,"2","14"
"337",5,106,0,"Male",337,"2","14"
"338",10,113,0,"Female",338,"2","14"
"339",7,108,0,"Female",339,"6","14"
"340",2,89,0,"Male",340,"2","14"
"341",6,116,20,"Female",341,"2","14"
"342",4,96,0,"Female",342,"2","14"
"343",9,114,20,"Female",343,"2","14"
"344",6,93,0,"Female",344,"2","14"
"345",4,96,0,"Male",345,"2","14"
"346",3,114,0,"Female",346,"2","14"
"347",10,116,0,"Female",347,"6","14"
"348",7,102,0,"Male",348,"2","14"
"349",9,107,31,"Male",349,"2","14"
"350",9,116,20,"Male",350,"2","14"
"351",10,118,20,"Female",351,"2","14"
"352",4,90,0,"Male",352,"2","14"
"353",9,90,20,"Female",353,"2","14"
"354",2,71,0,"Male",354,"2","14"
"355",2,86,0,"Male",355,"2","14"
"356",3,102,0,"Female",356,"2","14"
"357",8,116,20,"Male",357,"2","14"
"358",5,80,0,"Male",358,"2","14"
"359",10,106,1,"Male",359,"2","14"
"360",4,88,20,"Female",360,"2","14"
"361",5,98,0,"Male",361,"2","14"
"362",10,118,20,"Male",362,"2","14"
"363",2,77,0,"Male",363,"15","14"
"364",9,100,0,"Female",364,"2","14"
"365",3,111,0,"Male",365,"2","14"
"366",7,92,0,"Male",366,"2","14"
"367",7,98,0,"Female",367,"2","14"
"368",10,104,0,"Female",368,"2","14"
"369",10,104,20,"Female",369,"2","14"
"370",10,107,0,"Male",370,"2","14"
"371",9,115,0,"Male",371,"2","14"
"372",2,77,0,"Male",372,"4","15"
"373",6,90,0,"Female",373,"4","15"
"374",4,91,0,"Female",374,"4","15"
"375",8,104,0,"Male",375,"4","15"
"376",8,107,0,"Male",376,"4","15"
"377",2,75,1,"Male",377,"4","15"
"378",9,102,0,"Male",378,"4","15"
"379",4,92,0,"Male",379,"4","15"
"380",6,83,0,"Male",380,"4","15"
"381",4,99,0,"Male",381,"4","15"
"382",4,90,0,"Male",382,"4","15"
"383",6,77,31,"Male",383,"4","15"
"384",2,94,0,"Female",384,"4","15"
"385",10,107,31,"Female",385,"4","15"
"386",5,102,0,"Male",386,"4","15"
"387",10,114,0,"Male",387,"4","15"
"388",8,108,0,"Female",388,"4","15"
"389",2,75,0,"Male",389,"4","15"
"390",6,108,0,"Male",390,"4","15"
"391",9,108,0,"Female",391,"4","15"
"392",8,107,31,"Female",392,"4","15"
"393",2,100,20,"Female",393,"4","15"
"394",9,112,20,"Male",394,"4","15"
"395",4,94,0,"Female",395,"4","15"
"396",6,92,0,"Female",396,"4","15"
"397",10,116,0,"Female",397,"4","15"
"398",3,78,0,"Female",398,"4","15"
"399",5,83,0,"Female",399,"4","15"
"400",10,111,31,"Male",400,"4","15"
"401",5,104,20,"Female",401,"4","15"
"402",6,102,0,"Female",402,"6","15"
"403",5,98,0,"Female",403,"7","16"
"404",2,92,0,"Male",404,"3","16"
"405",3,110,0,"Female",405,"3","16"
"406",6,113,0,"Female",406,"7","16"
"407",2,70,0,"Female",407,"7","16"
"408",4,115,0,"Male",408,"7","16"
"409",6,115,0,"Female",409,"7","16"
"410",10,119,1,"Female",410,"7","16"
"411",10,96,0,"Male",411,"7","16"
"412",10,129,0,"Male",412,"7","16"
"413",3,70,0,"Female",413,"7","16"
"414",4,102,0,"Female",414,"7","16"
"415",2,98,0,"Male",415,"7","16"
"416",5,108,0,"Male",416,"7","16"
"417",4,116,0,"Female",417,"7","16"
"418",6,106,20,"Male",418,"7","16"
"419",2,70,0,"Male",419,"7","16"
"420",2,76,0,"Female",420,"7","16"
"421",7,109,0,"Female",421,"7","16"
"422",2,91,20,"Male",422,"7","16"
"423",9,98,0,"Female",423,"7","16"
"424",2,100,0,"Male",424,"7","16"
"425",3,99,1,"Male",425,"7","16"
"426",10,110,0,"Female",426,"7","16"
"427",3,107,0,"Male",427,"7","16"
"428",2,92,0,"Male",428,"7","16"
"429",10,116,0,"Female",429,"7","16"
"430",2,70,0,"Female",430,"7","16"
"431",3,106,0,"Female",431,"7","16"
"432",4,98,0,"Female",432,"7","16"
"433",3,93,0,"Male",433,"7","16"
"434",10,116,1,"Female",434,"7","16"
"435",6,95,0,"Female",435,"7","16"
"436",10,111,20,"Female",436,"7","16"
"437",4,82,0,"Male",437,"7","16"
"438",10,96,20,"Male",438,"7","16"
"439",7,98,0,"Male",439,"2","16"
"440",3,96,0,"Female",440,"7","16"
"441",4,93,20,"Female",441,"7","16"
"442",7,108,20,"Male",442,"4","17"
"443",4,105,0,"Female",443,"4","17"
"444",2,71,0,"Male",444,"4","17"
"445",7,99,0,"Female",445,"4","17"
"446",9,98,0,"Male",446,"4","17"
"447",2,75,0,"Female",447,"4","17"
"448",9,105,20,"Male",448,"4","17"
"449",10,102,0,"Female",449,"4","17"
"450",10,123,0,"Male",450,"4","17"
"451",9,135,31,"Male",451,"4","17"
"452",10,106,0,"Female",452,"4","17"
"453",8,106,20,"Female",453,"4","17"
"454",3,70,0,"Male",454,"4","17"
"455",5,100,20,"Male",455,"4","17"
"456",6,100,20,"Female",456,"4","17"
"457",9,100,0,"Male",457,"4","17"
"458",6,99,0,"Male",458,"4","17"
"459",5,100,1,"Male",459,"4","17"
"460",10,122,31,"Male",460,"4","17"
"461",2,91,0,"Female",461,"4","17"
"462",6,85,1,"Male",462,"4","17"
"463",7,103,31,"Male",463,"4","17"
"464",4,91,20,"Male",464,"4","17"
"465",2,85,0,"Male",465,"4","17"
"466",4,98,31,"Male",466,"4","17"
"467",4,100,0,"Male",467,"4","17"
"468",10,112,1,"Female",468,"4","17"
"469",2,86,0,"Female",469,"4","17"
"470",10,134,0,"Male",470,"4","17"
"471",9,117,0,"Male",471,"4","17"
"472",8,106,20,"Male",472,"6","17"
"473",8,106,0,"Female",473,"4","17"
"474",10,110,31,"Male",474,"4","17"
"475",10,125,0,"Male",475,"4","17"
"476",10,107,0,"Male",476,"4","17"
"477",9,94,0,"Male",477,"4","17"
"478",2,75,31,"Male",478,"4","17"
"479",2,79,20,"Male",479,"3","18"
"480",2,78,0,"Male",480,"3","18"
"481",7,109,20,"Female",481,"4","18"
"482",6,101,0,"Female",482,"3","18"
"483",2,83,0,"Female",483,"3","18"
"484",5,90,0,"Female",484,"3","18"
"485",7,100,0,"Female",485,"3","18"
"486",1,72,0,"Female",486,"3","18"
"487",2,85,0,"Female",487,"3","18"
"488",2,99,0,"Male",488,"3","18"
"489",7,98,0,"Male",489,"3","18"
"490",4,79,0,"Female",490,"4","18"
"491",2,90,31,"Male",491,"3","18"
"492",3,88,0,"Male",492,"3","18"
"493",10,108,20,"Male",493,"3","18"
"494",5,91,0,"Female",494,"3","18"
"495",5,104,0,"Female",495,"3","18"
"496",2,81,0,"Female",496,"8","18"
"497",4,90,20,"Male",497,"3","18"
"498",7,94,0,"Male",498,"3","18"
"499",3,90,0,"Female",499,"4","18"
"500",3,71,0,"Female",500,"3","18"
"501",9,112,0,"Female",501,"4","18"
"502",10,94,20,"Female",502,"3","18"
"503",9,96,0,"Male",503,"3","18"
"504",5,94,0,"Male",504,"3","18"
"505",2,83,0,"Female",505,"3","18"
"506",10,109,0,"Female",506,"3","18"
"507",2,100,0,"Male",507,"3","18"
"508",10,110,20,"Female",508,"12","18"
"509",4,93,0,"Male",509,"3","18"
"510",5,89,20,"Female",510,"3","18"
"511",10,103,0,"Female",511,"3","18"
"512",5,102,0,"Female",512,"3","19"
"513",6,102,31,"Female",513,"3","19"
"514",6,96,31,"Male",514,"3","19"
"515",2,88,0,"Male",515,"3","19"
"516",3,100,20,"Male",516,"4","19"
"517",10,106,20,"Male",517,"3","19"
"518",5,115,20,"Female",518,"3","19"
"519",9,106,31,"Male",519,"3","19"
"520",7,89,0,"Male",520,"3","19"
"521",10,115,1,"Female",521,"3","19"
"522",10,123,0,"Female",522,"3","19"
"523",10,111,31,"Male",523,"3","19"
"524",9,102,31,"Female",524,"3","19"
"525",10,105,0,"Female",525,"3","19"
"526",7,95,31,"Female",526,"3","19"
"527",5,94,20,"Female",527,"3","19"
"528",10,106,0,"Female",528,"3","19"
"529",2,72,20,"Male",529,"3","19"
"530",2,100,0,"Male",530,"3","19"
"531",3,88,20,"Female",531,"3","19"
"532",10,113,20,"Female",532,"3","19"
"533",9,100,20,"Male",533,"3","19"
"534",6,102,20,"Male",534,"3","19"
"535",10,110,20,"Female",535,"3","19"
"536",1,104,0,"Female",536,"3","19"
"537",4,89,0,"Female",537,"3","19"
"538",5,96,20,"Female",538,"3","19"
"539",6,98,20,"Female",539,"3","19"
"540",7,93,0,"Male",540,"3","19"
"541",10,116,0,"Male",541,"3","19"
"542",4,110,0,"Female",542,"3","19"
"543",8,110,20,"Female",543,"3","19"
"544",1,78,31,"Female",544,"4","20"
"545",5,102,0,"Male",545,"2","20"
"546",10,102,0,"Male",546,"2","20"
"547",4,88,0,"Male",547,"2","20"
"548",2,91,0,"Male",548,"2","20"
"549",4,90,0,"Female",549,"2","20"
"550",10,109,0,"Male",550,"2","20"
"551",7,108,0,"Male",551,"2","20"
"552",2,85,0,"Male",552,"2","20"
"553",6,110,0,"Male",553,"2","20"
"554",7,105,0,"Female",554,"2","20"
"555",2,77,0,"Female",555,"2","20"
"556",4,94,31,"Female",556,"2","20"
"557",2,70,0,"Male",557,"2","20"
"558",3,93,0,"Male",558,"2","20"
"559",2,99,0,"Female",559,"2","20"
"560",3,86,0,"Female",560,"2","20"
"561",3,100,0,"Male",561,"2","20"
"562",2,89,0,"Female",562,"2","20"
"563",2,77,0,"Male",563,"4","20"
"564",4,94,0,"Female",564,"2","20"
"565",10,112,0,"Female",565,"2","20"
"566",3,92,20,"Female",566,"2","20"
"567",3,98,0,"Male",567,"2","20"
"568",5,98,0,"Male",568,"2","20"
"569",1,84,0,"Male",569,"2","20"
"570",3,102,31,"Male",570,"3","20"
"571",7,104,0,"Male",571,"2","20"
"572",3,84,0,"Male",572,"2","20"
"573",6,96,0,"Female",573,"2","20"
"574",2,93,0,"Female",574,"2","20"
"575",6,102,0,"Female",575,"2","20"
"576",2,74,31,"Male",576,"1","21"
"577",3,91,1,"Female",577,"1","21"
"578",2,77,0,"Male",578,"1","21"
"579",10,102,31,"Male",579,"4","21"
"580",5,94,0,"Male",580,"1","21"
"581",2,95,0,"Female",581,"1","21"
"582",5,92,0,"Male",582,"1","21"
"583",3,88,0,"Female",583,"1","21"
"584",8,104,20,"Male",584,"1","21"
"585",1,93,0,"Male",585,"1","21"
"586",10,112,20,"Female",586,"1","21"
"587",10,116,31,"Female",587,"1","21"
"588",4,91,0,"Male",588,"1","21"
"589",2,78,0,"Male",589,"1","21"
"590",2,84,0,"Female",590,"1","21"
"591",6,94,0,"Female",591,"1","21"
"592",3,77,0,"Male",592,"1","21"
"593",4,86,0,"Male",593,"1","21"
"594",4,98,0,"Female",594,"1","21"
"595",6,96,0,"Female",595,"1","21"
"596",6,109,0,"Female",596,"1","21"
"597",3,78,0,"Female",597,"1","21"
"598",8,94,0,"Male",598,"1","21"
"599",4,80,0,"Male",599,"1","21"
"600",6,106,0,"Female",600,"1","21"
"601",4,89,0,"Male",601,"1","21"
"602",7,107,0,"Male",602,"1","21"
"603",2,82,0,"Male",603,"1","21"
"604",2,75,0,"Female",604,"1","21"
"605",2,82,0,"Male",605,"11","21"
"606",2,90,0,"Male",606,"1","21"
"607",3,80,0,"Male",607,"1","21"
"608",3,90,0,"Female",608,"1","21"
"609",2,94,0,"Female",609,"1","21"
"610",3,101,31,"Female",610,"1","21"
"611",3,92,0,"Female",611,"1","21"
"612",7,98,0,"Female",612,"1","21"
"613",10,94,31,"Male",613,"1","21"
"614",6,88,0,"Female",614,"1","21"
"615",8,108,20,"Female",615,"5","22"
"616",2,83,0,"Female",616,"5","22"
"617",3,92,0,"Male",617,"5","22"
"618",9,100,20,"Male",618,"5","22"
"619",2,86,0,"Male",619,"5","22"
"620",2,90,20,"Female",620,"8","22"
"621",10,140,0,"Female",621,"5","22"
"622",10,108,31,"Female",622,"5","22"
"623",4,96,0,"Female",623,"5","22"
"624",8,116,0,"Female",624,"11","22"
"625",7,108,20,"Female",625,"5","22"
"626",9,109,0,"Male",626,"5","22"
"627",3,92,0,"Female",627,"5","22"
"628",2,95,20,"Male",628,"5","22"
"629",9,99,0,"Female",629,"5","22"
"630",2,81,0,"Male",630,"5","22"
"631",5,100,0,"Female",631,"5","22"
"632",5,96,0,"Female",632,"5","22"
"633",4,100,0,"Female",633,"5","22"
"634",10,109,20,"Male",634,"5","22"
"635",3,84,31,"Male",635,"5","22"
"636",7,101,1,"Male",636,"5","22"
"637",2,77,0,"Male",637,"5","22"
"638",10,95,0,"Female",638,"5","22"
"639",9,89,1,"Female",639,"5","22"
"640",8,118,31,"Male",640,"5","22"
"641",6,88,0,"Female",641,"5","22"
"642",2,76,0,"Female",642,"3","23"
"643",2,88,20,"Male",643,"3","23"
"644",3,100,0,"Female",644,"3","23"
"645",5,84,0,"Male",645,"3","23"
"646",7,94,0,"Female",646,"3","23"
"647",2,85,0,"Female",647,"3","23"
"648",2,95,0,"Female",648,"3","23"
"649",4,96,0,"Male",649,"3","23"
"650",4,96,0,"Female",650,"3","23"
"651",2,74,0,"Male",651,"3","23"
"652",3,96,31,"Female",652,"3","23"
"653",3,86,0,"Female",653,"3","23"
"654",1,70,0,"Male",654,"3","23"
"655",7,102,0,"Female",655,"3","23"
"656",5,92,31,"Male",656,"3","23"
"657",1,80,0,"Male",657,"3","23"
"658",3,88,0,"Male",658,"3","23"
"659",3,90,0,"Male",659,"3","23"
"660",10,109,31,"Female",660,"6","24"
"661",6,98,0,"Male",661,"6","24"
"662",7,99,20,"Female",662,"6","24"
"663",9,103,0,"Female",663,"6","24"
