School1,School2,School3,School4,School5,School6,School7,School8,School9,School10,School11,School12,School13,School14,School15,School16,School17,School18,School19
Medium,Poor,Medium,Medium,Medium,Poor,Rich,Poor,Medium,Poor,Poor,Poor,Poor,Medium,Poor,Poor,Medium,Poor,NA
Poor,Poor,Poor,Poor,Poor,Rich,Rich,Poor,Rich,Poor,Poor,Poor,Medium,Medium,Medium,Rich,Medium,Poor,NA
Medium,Poor,Poor,Poor,Medium,Poor,Medium,Medium,Poor,Poor,Poor,Medium,Poor,Poor,Poor,Poor,Poor,Poor,NA
Medium,Poor,Poor,Rich,Medium,Poor,Rich,Poor,Poor,Poor,Medium,Medium,Poor,Poor,Medium,Medium,Poor,Rich,NA
Rich,Poor,Medium,Medium,Poor,Rich,Rich,Poor,Poor,Medium,Poor,Rich,Medium,Medium,Poor,Poor,Poor,Poor,NA
Poor,Poor,Poor,Poor,Rich,Medium,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Rich,Poor,Poor,Poor,Poor,NA
Poor,Poor,Poor,Poor,Medium,Rich,Rich,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Medium,NA
Poor,Poor,Poor,Medium,Poor,Medium,Poor,Medium,Poor,Poor,Poor,Medium,Poor,Medium,Poor,Medium,Medium,Rich,NA
Poor,Poor,Rich,Poor,Poor,Rich,Poor,NA,Poor,Poor,Medium,Medium,Poor,Poor,Poor,Poor,Poor,Poor,NA
Poor,Medium,Poor,Poor,Medium,Poor,Poor,NA,NA,Medium,Poor,Medium,Poor,Poor,Medium,Medium,Medium,Medium,NA
Poor,Poor,Medium,Rich,Poor,Poor,Medium,NA,NA,NA,Medium,Medium,Poor,Medium,Poor,Poor,Poor,Poor,NA
Poor,Poor,Medium,Poor,Poor,Medium,Poor,NA,NA,NA,Poor,Poor,Medium,Poor,Poor,Poor,Poor,Poor,NA
Rich,Poor,Poor,Medium,Poor,Poor,Medium,NA,NA,NA,Poor,Rich,Poor,Poor,Medium,Medium,Medium,Rich,NA
Poor,Medium,Medium,Medium,Rich,Medium,Rich,NA,NA,NA,Poor,Medium,Poor,Medium,Rich,Poor,Poor,Medium,NA
Medium,Rich,Poor,Poor,Poor,Medium,Poor,NA,NA,NA,Medium,Poor,Poor,Medium,Medium,Poor,Poor,Medium,NA
Rich,Poor,Poor,Poor,Poor,Poor,Rich,NA,NA,NA,Medium,Poor,Rich,Poor,Poor,Poor,Poor,Medium,NA
Poor,Rich,Poor,Rich,Medium,Medium,Poor,NA,NA,NA,Poor,Rich,Medium,Poor,Poor,Poor,Poor,Rich,NA
Poor,Rich,Medium,Poor,Rich,Medium,NA,NA,NA,NA,Rich,Poor,Medium,Medium,Poor,Poor,Poor,Medium,NA
Poor,Poor,Poor,Rich,Poor,Medium,NA,NA,NA,NA,Medium,Poor,Poor,Medium,Poor,Poor,Poor,Rich,NA
Poor,Poor,Medium,Poor,Poor,Poor,NA,NA,NA,NA,Poor,Medium,Medium,Poor,Poor,Poor,Medium,Poor,NA
Medium,Medium,Poor,Poor,Poor,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Poor,Rich,Poor,Poor,Poor,NA
Medium,Medium,Poor,Poor,Rich,Rich,NA,NA,NA,NA,Medium,Rich,Rich,Poor,Poor,Medium,Poor,Poor,NA
Poor,Medium,Poor,Poor,Rich,Poor,NA,NA,NA,NA,Poor,Medium,Rich,Poor,Poor,Rich,Poor,Medium,NA
Medium,Poor,Poor,Rich,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Rich,Poor,Poor,Poor,Medium,Poor,NA
Poor,Medium,Poor,Poor,Poor,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Poor,Poor,Poor,Poor,Medium,NA
Medium,Poor,Medium,Poor,Poor,Medium,NA,NA,NA,NA,Medium,Poor,Poor,Poor,Rich,Medium,Rich,Poor,NA
Poor,Medium,Medium,Poor,Medium,Poor,NA,NA,NA,NA,Medium,Rich,Poor,Poor,Poor,Rich,Poor,Poor,NA
Poor,Medium,Poor,Medium,Medium,Poor,NA,NA,NA,NA,Poor,Medium,Rich,Poor,Medium,Medium,Poor,Poor,NA
Medium,Poor,Medium,Poor,Poor,Poor,NA,NA,NA,NA,Medium,Poor,Medium,Poor,Medium,Poor,Medium,Poor,NA
Rich,Poor,Rich,Rich,Medium,Poor,NA,NA,NA,NA,Medium,Medium,Poor,Poor,Rich,Poor,Poor,Rich,NA
Medium,Poor,Medium,Medium,Poor,Medium,NA,NA,NA,NA,Poor,Poor,Rich,Poor,Poor,Poor,Poor,Poor,NA
Poor,Poor,Poor,Poor,Poor,Poor,NA,NA,NA,NA,Medium,Rich,Poor,Medium,Medium,Poor,Poor,Poor,NA
Rich,Poor,Poor,Poor,Rich,Rich,NA,NA,NA,NA,Medium,Rich,Rich,Medium,Rich,Poor,Poor,Poor,NA
Poor,Medium,Poor,Medium,Medium,Medium,NA,NA,NA,NA,Medium,Poor,Poor,Medium,Medium,Poor,Medium,Poor,NA
Poor,Medium,Poor,Medium,Poor,Poor,NA,NA,NA,NA,Poor,Medium,Medium,Poor,NA,Poor,Poor,Poor,NA
Poor,Medium,Medium,Poor,Medium,Poor,NA,NA,NA,NA,Poor,Medium,Poor,Medium,NA,Poor,Poor,Poor,NA
Poor,Poor,Poor,Poor,Medium,Poor,NA,NA,NA,NA,Poor,Poor,Rich,Rich,NA,Medium,Poor,Poor,NA
Poor,Poor,Poor,Rich,Medium,Poor,NA,NA,NA,NA,Medium,Medium,Rich,Poor,NA,Rich,Medium,Medium,NA
Poor,Poor,Poor,Medium,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Medium,Medium,NA,Poor,Poor,Poor,NA
Rich,Poor,Medium,Poor,Medium,Medium,NA,NA,NA,NA,Poor,Medium,Poor,Poor,NA,Medium,Rich,Poor,NA
Medium,Poor,NA,Poor,Medium,Poor,NA,NA,NA,NA,Poor,Poor,Poor,Rich,NA,Poor,Poor,Rich,NA
Poor,Poor,NA,Medium,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Rich,NA,Medium,Medium,Medium,NA
Medium,Poor,NA,Poor,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Medium,Medium,NA,Poor,Poor,Poor,NA
Medium,Poor,NA,Rich,Poor,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Rich,NA,Medium,Poor,Poor,NA
Rich,Poor,NA,Poor,Poor,Poor,NA,NA,NA,NA,Medium,Medium,Poor,Medium,NA,NA,Poor,Poor,NA
Medium,Poor,NA,Poor,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Rich,NA,NA,Poor,Medium,NA
Poor,Medium,NA,Medium,Poor,Medium,NA,NA,NA,NA,Rich,Poor,Poor,Rich,NA,NA,Poor,Poor,NA
Poor,Poor,NA,Medium,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Medium,Poor,NA,NA,Medium,Rich,NA
Poor,Medium,NA,Poor,Medium,Medium,NA,NA,NA,NA,Rich,Poor,Poor,Medium,NA,NA,Poor,Poor,NA
Poor,Poor,NA,Poor,Medium,Poor,NA,NA,NA,NA,Poor,Poor,Rich,Medium,NA,NA,Poor,Medium,NA
Poor,Medium,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Medium,Medium,Medium,NA,NA,Poor,Poor,NA
Medium,Rich,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Poor,Poor,NA,NA,Rich,Poor,NA
Poor,Poor,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Rich,Medium,NA,NA,Poor,Rich,NA
Poor,Poor,NA,NA,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Poor,NA,NA,Poor,Medium,NA
Poor,Poor,NA,NA,Medium,Medium,NA,NA,NA,NA,Poor,Medium,Poor,Medium,NA,NA,Rich,Poor,NA
Poor,Poor,NA,NA,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Rich,Medium,NA,NA,Poor,Poor,NA
Poor,Poor,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Medium,Poor,Medium,NA,NA,Medium,Poor,NA
Poor,Medium,NA,NA,Medium,Poor,NA,NA,NA,NA,Poor,Poor,Poor,Medium,NA,NA,Poor,Rich,NA
Poor,Medium,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Medium,Poor,NA,NA,Medium,Poor,NA
Medium,Medium,NA,NA,Poor,Poor,NA,NA,NA,NA,Rich,Rich,Poor,Poor,NA,NA,Medium,Poor,NA
Rich,Poor,NA,NA,Poor,Poor,NA,NA,NA,NA,Medium,Medium,Poor,Poor,NA,NA,Medium,Poor,NA
Medium,Poor,NA,NA,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Medium,Poor,NA,NA,Poor,Poor,NA
Poor,Poor,NA,NA,Poor,Medium,NA,NA,NA,NA,Medium,Medium,Poor,Medium,NA,NA,Medium,Rich,NA
Poor,Poor,NA,NA,Poor,Medium,NA,NA,NA,NA,Rich,Poor,Rich,Poor,NA,NA,Medium,Poor,NA
Poor,Rich,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Medium,Poor,Rich,NA,NA,Medium,Rich,NA
Poor,Poor,NA,NA,Poor,Rich,NA,NA,NA,NA,Medium,Medium,Rich,Poor,NA,NA,Poor,Poor,NA
Poor,Poor,NA,NA,Medium,Poor,NA,NA,NA,NA,Medium,Poor,Medium,Poor,NA,NA,Rich,Poor,NA
Poor,Poor,NA,NA,Poor,Poor,NA,NA,NA,NA,Poor,Poor,Medium,Poor,NA,NA,Poor,Medium,NA
Poor,Poor,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Medium,Rich,Poor,NA,NA,Poor,Poor,NA
Medium,Poor,NA,NA,NA,Poor,NA,NA,NA,NA,Rich,Poor,Rich,Poor,NA,NA,Medium,Poor,NA
Medium,Poor,NA,NA,NA,Rich,NA,NA,NA,NA,Medium,Medium,Poor,Poor,NA,NA,Poor,NA,NA
Medium,Poor,NA,NA,NA,Medium,NA,NA,NA,NA,Poor,Poor,Rich,Poor,NA,NA,Medium,NA,NA
Poor,Poor,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Medium,Medium,Poor,NA,NA,Medium,NA,NA
NA,Poor,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Medium,Rich,Poor,NA,NA,Poor,NA,NA
NA,Rich,NA,NA,NA,Medium,NA,NA,NA,NA,Poor,Medium,Rich,Poor,NA,NA,Medium,NA,NA
NA,Poor,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,Rich,Poor,NA,NA,Rich,NA,NA
NA,Poor,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,Poor,Poor,NA,NA,Poor,NA,NA
NA,Rich,NA,NA,NA,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Poor,NA,NA,Rich,NA,NA
NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,Poor,Poor,Poor,Poor,NA,NA,Poor,NA,NA
NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,Poor,Medium,Medium,Medium,NA,NA,Poor,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,Medium,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Medium,Medium,Medium,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,Poor,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,Medium,Medium,Poor,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Rich,Poor,Medium,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Medium,Medium,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,Poor,Medium,Poor,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Rich,Poor,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,Poor,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Medium,Poor,Poor,Rich,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Medium,Medium,Medium,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,Poor,Poor,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Rich,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rich,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rich,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rich,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Medium,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,Poor,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,NA,NA,NA,NA,NA,NA,NA
