"","SID","ID","GENDER","SOC","ACH_M3","group","ACH_P6","PID"
"182","7","411","Male","Poor",10,"high",96,"16"
"183","7","412","Male","Poor",10,"high",129,"16"
"184","7","418","Male","Medium",6,"high",106,"16"
"185","7","421","Female","Poor",7,"high",109,"16"
"186","7","423","Female","Poor",9,"high",98,"16"
"187","7","426","Female","Poor",10,"high",110,"16"
"188","7","429","Female","Poor",10,"high",116,"16"
"189","7","434","Female","Poor",10,"high",116,"16"
"190","7","435","Female","Poor",6,"high",95,"16"
"191","7","436","Female","Medium",10,"high",111,"16"
"192","7","438","Male","Medium",10,"high",96,"16"
"193","2","439","Male","Poor",7,"high",98,"16"
"194","4","442","Male","Medium",7,"high",108,"17"
"195","4","445","Female","Poor",7,"high",99,"17"
"196","4","446","Male","Poor",9,"high",98,"17"
"197","4","448","Male","Medium",9,"high",105,"17"
"198","4","449","Female","Poor",10,"high",102,"17"
"199","4","450","Male","Poor",10,"high",123,"17"
"200","4","451","Male","Rich",9,"high",135,"17"
"201","4","452","Female","Poor",10,"high",106,"17"
"202","4","453","Female","Medium",8,"high",106,"17"
"203","4","456","Female","Medium",6,"high",100,"17"
"204","4","457","Male","Poor",9,"high",100,"17"
"205","4","458","Male","Poor",6,"high",99,"17"
"206","4","460","Male","Rich",10,"high",122,"17"
"207","4","462","Male","Poor",6,"high",85,"17"
"208","4","463","Male","Rich",7,"high",103,"17"
"209","4","468","Female","Poor",10,"high",112,"17"
"210","4","470","Male","Poor",10,"high",134,"17"
"211","4","471","Male","Poor",9,"high",117,"17"
"212","6","472","Male","Medium",8,"high",106,"17"
"213","4","473","Female","Poor",8,"high",106,"17"
"214","4","474","Male","Rich",10,"high",110,"17"
"215","4","475","Male","Poor",10,"high",125,"17"
"216","4","476","Male","Poor",10,"high",107,"17"
"217","4","477","Male","Poor",9,"high",94,"17"
"218","4","481","Female","Medium",7,"high",109,"18"
"219","3","482","Female","Poor",6,"high",101,"18"
"220","3","485","Female","Poor",7,"high",100,"18"
"221","3","489","Male","Poor",7,"high",98,"18"
"222","3","493","Male","Medium",10,"high",108,"18"
"223","3","498","Male","Poor",7,"high",94,"18"
"224","4","501","Female","Poor",9,"high",112,"18"
"225","3","502","Female","Medium",10,"high",94,"18"
"226","3","503","Male","Poor",9,"high",96,"18"
"227","3","506","Female","Poor",10,"high",109,"18"
"228","12","508","Female","Medium",10,"high",110,"18"
"229","3","511","Female","Poor",10,"high",103,"18"
"230","3","513","Female","Rich",6,"high",102,"19"
"231","3","514","Male","Rich",6,"high",96,"19"
"232","3","517","Male","Medium",10,"high",106,"19"
"233","3","519","Male","Rich",9,"high",106,"19"
"234","3","520","Male","Poor",7,"high",89,"19"
"235","3","521","Female","Poor",10,"high",115,"19"
"236","3","522","Female","Poor",10,"high",123,"19"
"237","3","523","Male","Rich",10,"high",111,"19"
"238","3","524","Female","Rich",9,"high",102,"19"
"239","3","525","Female","Poor",10,"high",105,"19"
"240","3","526","Female","Rich",7,"high",95,"19"
"241","3","528","Female","Poor",10,"high",106,"19"
"242","3","532","Female","Medium",10,"high",113,"19"
"243","3","533","Male","Medium",9,"high",100,"19"
"244","3","534","Male","Medium",6,"high",102,"19"
"245","3","535","Female","Medium",10,"high",110,"19"
"246","3","539","Female","Medium",6,"high",98,"19"
"247","3","540","Male","Poor",7,"high",93,"19"
"248","3","541","Male","Poor",10,"high",116,"19"
"249","3","543","Female","Medium",8,"high",110,"19"
"250","2","546","Male","Poor",10,"high",102,"20"
"251","2","550","Male","Poor",10,"high",109,"20"
"252","2","551","Male","Poor",7,"high",108,"20"
"253","2","553","Male","Poor",6,"high",110,"20"
"254","2","554","Female","Poor",7,"high",105,"20"
"255","2","565","Female","Poor",10,"high",112,"20"
"256","2","571","Male","Poor",7,"high",104,"20"
"257","2","573","Female","Poor",6,"high",96,"20"
"258","2","575","Female","Poor",6,"high",102,"20"
"259","4","579","Male","Rich",10,"high",102,"21"
"260","1","584","Male","Medium",8,"high",104,"21"
"261","1","586","Female","Medium",10,"high",112,"21"
"262","1","587","Female","Rich",10,"high",116,"21"
"263","1","591","Female","Poor",6,"high",94,"21"
"264","1","595","Female","Poor",6,"high",96,"21"
"265","1","596","Female","Poor",6,"high",109,"21"
"266","1","598","Male","Poor",8,"high",94,"21"
"267","1","600","Female","Poor",6,"high",106,"21"
"268","1","602","Male","Poor",7,"high",107,"21"
"269","1","612","Female","Poor",7,"high",98,"21"
"270","1","613","Male","Rich",10,"high",94,"21"
"271","1","614","Female","Poor",6,"high",88,"21"
"272","5","615","Female","Medium",8,"high",108,"22"
"273","5","618","Male","Medium",9,"high",100,"22"
"274","5","621","Female","Poor",10,"high",140,"22"
"275","5","622","Female","Rich",10,"high",108,"22"
"276","11","624","Female","Poor",8,"high",116,"22"
"277","5","625","Female","Medium",7,"high",108,"22"
"278","5","626","Male","Poor",9,"high",109,"22"
"279","5","629","Female","Poor",9,"high",99,"22"
"280","5","634","Male","Medium",10,"high",109,"22"
"281","5","636","Male","Poor",7,"high",101,"22"
"282","5","638","Female","Poor",10,"high",95,"22"
"283","5","639","Female","Poor",9,"high",89,"22"
"284","5","640","Male","Rich",8,"high",118,"22"
"285","5","641","Female","Poor",6,"high",88,"22"
"286","3","646","Female","Poor",7,"high",94,"23"
"287","3","655","Female","Poor",7,"high",102,"23"
"288","6","660","Female","Rich",10,"high",109,"24"
"289","6","661","Male","Poor",6,"high",98,"24"
"290","6","662","Female","Medium",7,"high",99,"24"
"291","6","663","Female","Poor",9,"high",103,"24"
"292","6","665","Female","Medium",10,"high",115,"24"
"293","6","666","Female","Poor",10,"high",112,"24"
"294","6","667","Male","Medium",10,"high",116,"24"
"295","6","668","Female","Medium",10,"high",115,"24"
"296","6","670","Male","Medium",9,"high",116,"24"
"297","6","671","Male","Poor",9,"high",105,"24"
"298","6","672","Male","Medium",9,"high",105,"24"
"299","6","673","Female","Rich",10,"high",111,"24"
"300","6","674","Male","Rich",10,"high",121,"24"
"301","6","675","Male","Poor",9,"high",107,"24"
"302","6","677","Female","Medium",10,"high",130,"24"
"303","6","679","Male","Poor",8,"high",100,"24"
"304","6","680","Male","Medium",10,"high",109,"24"
"305","6","683","Female","Medium",10,"high",99,"24"
"306","6","686","Female","Medium",10,"high",113,"24"
"307","6","687","Male","Medium",9,"high",120,"24"
"308","5","688","Female","Poor",6,"high",107,"24"
"309","6","689","Female","Poor",8,"high",124,"24"
"310","6","690","Male","Rich",10,"high",100,"24"
"311","6","691","Male","Poor",10,"high",99,"24"
"312","6","693","Female","Poor",7,"high",111,"24"
"313","6","694","Female","Rich",10,"high",105,"24"
"314","6","696","Male","Medium",8,"high",103,"24"
"315","6","697","Female","Rich",8,"high",106,"24"
"316","6","698","Male","Medium",10,"high",115,"24"
"317","6","699","Male","Rich",10,"high",110,"24"
"318","6","700","Male","Poor",6,"high",93,"24"
"319","6","701","Female","Poor",9,"high",116,"24"
"320","6","704","Female","Medium",9,"high",113,"24"
"321","6","706","Male","Poor",6,"high",100,"24"
"322","6","707","Female","Medium",10,"high",115,"24"
"323","6","709","Female","Medium",9,"high",111,"24"
"324","6","710","Female","Poor",10,"high",102,"24"
"325","6","712","Female","Medium",6,"high",108,"24"
"326","6","713","Female","Medium",8,"high",116,"24"
"327","6","715","Female","Medium",10,"high",110,"24"
"328","6","716","Male","Poor",10,"high",112,"24"
"329","6","717","Female","Poor",9,"high",115,"25"
"330","6","718","Female","Rich",8,"high",99,"25"
"331","5","720","Female","Medium",10,"high",117,"25"
"332","6","722","Male","Poor",9,"high",110,"25"
"333","6","723","Female","Poor",9,"high",98,"25"
"334","6","724","Female","Poor",10,"high",123,"25"
"335","5","725","Female","Rich",7,"high",96,"25"
"336","6","726","Male","Medium",6,"high",92,"25"
"337","6","730","Female","Poor",7,"high",104,"25"
"338","6","732","Female","Poor",8,"high",102,"25"
"339","6","733","Male","Poor",10,"high",115,"25"
"340","6","734","Male","Poor",8,"high",103,"25"
"341","6","736","Male","Medium",6,"high",101,"25"
"342","5","737","Female","Poor",10,"high",121,"25"
"343","6","740","Female","Poor",9,"high",108,"25"
"344","6","741","Female","Rich",10,"high",120,"25"
"345","5","742","Female","Poor",10,"high",121,"25"
"346","6","745","Female","Medium",7,"high",95,"25"
"347","5","747","Male","Poor",7,"high",94,"25"
"348","6","748","Female","Poor",6,"high",96,"25"
"349","6","750","Female","Poor",10,"high",120,"25"
"350","6","751","Female","Poor",10,"high",109,"25"
"351","6","752","Male","Poor",9,"high",113,"25"
"352","6","756","Female","Poor",6,"high",95,"25"
"353","5","757","Male","Rich",8,"high",117,"25"
"354","6","759","Female","Medium",10,"high",106,"25"
"355","6","762","Male","Poor",10,"high",104,"25"
"356","5","763","Female","Rich",8,"high",111,"26"
"357","5","764","Male","Poor",7,"high",96,"26"
"358","5","767","Female","Poor",9,"high",116,"26"
"359","5","768","Male","Poor",10,"high",112,"26"
"360","5","769","Female","Medium",10,"high",118,"26"
"361","5","771","Male","Medium",9,"high",113,"26"
"362","5","772","Male","Poor",9,"high",118,"26"
"363","5","774","Female","Medium",10,"high",110,"26"
"364","5","776","Female","Poor",9,"high",119,"26"
"365","5","779","Male","Poor",8,"high",106,"26"
"366","5","781","Male","Rich",7,"high",116,"26"
"367","5","785","Male","Medium",9,"high",99,"26"
"368","5","786","Female","Poor",7,"high",91,"26"
"369","5","787","Male","Medium",7,"high",95,"26"
"370","5","790","Male","Medium",8,"high",94,"26"
"371","5","791","Male","Medium",10,"high",104,"26"
"372","5","792","Female","Poor",8,"high",101,"26"
"373","6","794","Male","Poor",10,"high",109,"27"
"374","6","798","Female","Poor",9,"high",113,"27"
"375","6","800","Male","Poor",10,"high",119,"27"
"376","6","801","Male","Poor",10,"high",102,"27"
"377","6","803","Male","Poor",10,"high",95,"27"
"378","6","815","Female","Medium",10,"high",106,"27"
"379","6","817","Male","Poor",10,"high",116,"27"
"380","6","820","Female","Medium",10,"high",111,"27"
"381","6","822","Female","Poor",6,"high",103,"27"
"382","6","823","Female","Poor",8,"high",104,"27"
"383","6","824","Male","Poor",7,"high",91,"27"
"384","6","826","Female","Poor",10,"high",121,"27"
"385","6","828","Female","Poor",10,"high",108,"27"
"386","6","831","Female","Medium",10,"high",101,"27"
"387","6","832","Female","Poor",7,"high",118,"27"
"388","6","837","Female","Poor",6,"high",103,"27"
"389","6","839","Female","Poor",10,"high",109,"28"
"390","6","840","Female","Poor",9,"high",93,"28"
"391","6","841","Male","Poor",10,"high",114,"28"
"392","6","842","Female","Poor",10,"high",92,"28"
"393","6","843","Male","Poor",7,"high",93,"28"
"394","8","844","Female","Poor",6,"high",94,"28"
"395","6","847","Female","Medium",10,"high",106,"28"
"396","6","851","Male","Medium",10,"high",104,"28"
"397","6","856","Female","Poor",10,"high",127,"28"
"398","6","859","Male","Rich",10,"high",113,"28"
"399","8","873","Female","Poor",9,"high",106,"29"
"400","8","874","Male","Medium",9,"high",104,"29"
"401","8","877","Male","Poor",6,"high",103,"29"
"402","8","878","Female","Poor",6,"high",94,"29"
"403","8","883","Female","Rich",9,"high",108,"29"
"404","8","885","Male","Poor",10,"high",111,"29"
"405","8","892","Female","Poor",10,"high",110,"29"
"406","8","893","Female","Poor",10,"high",113,"29"
"407","8","901","Female","Medium",7,"high",95,"29"
"408","7","904","Male","Medium",10,"high",107,"30"
"409","1","905","Female","Medium",7,"high",101,"30"
"410","7","906","Female","Poor",9,"high",106,"30"
"411","7","907","Female","Poor",8,"high",100,"30"
"412","7","908","Male","Poor",10,"high",109,"30"
"413","7","911","Male","Poor",6,"high",99,"30"
"414","7","915","Female","Poor",6,"high",95,"30"
"415","7","920","Male","Medium",10,"high",95,"30"
"416","7","921","Male","Poor",6,"high",99,"30"
"417","7","923","Female","Poor",9,"high",95,"30"
"418","7","924","Male","Poor",7,"high",106,"30"
"419","7","925","Female","Medium",6,"high",94,"30"
"420","7","928","Female","Rich",9,"high",118,"30"
"421","7","931","Male","Rich",10,"high",108,"30"
"422","7","932","Male","Rich",8,"high",101,"30"
"423","7","933","Female","Medium",9,"high",104,"30"
"424","7","935","Female","Rich",10,"high",120,"30"
"425","8","937","Female","Poor",7,"high",94,"31"
"426","8","938","Female","Poor",10,"high",105,"31"
"427","8","944","Female","Poor",7,"high",101,"31"
"428","8","945","Female","Poor",7,"high",103,"31"
"429","8","949","Female","Poor",10,"high",104,"31"
"430","8","953","Male","Poor",8,"high",102,"31"
"431","8","956","Male","Poor",10,"high",108,"31"
"432","8","957","Male","Poor",10,"high",109,"31"
"433","8","958","Female","Medium",9,"high",107,"31"
"434","8","959","Female","Poor",7,"high",107,"31"
"435","8","960","Female","Poor",10,"high",112,"31"
"436","8","961","Female","Poor",7,"high",104,"31"
"437","8","963","Male","Poor",8,"high",105,"31"
"438","8","965","Male","Poor",10,"high",121,"31"
"439","8","967","Female","Medium",7,"high",91,"31"
"440","8","971","Female","Poor",8,"high",112,"31"
"441","8","972","Female","Poor",7,"high",108,"31"
"442","8","973","Female","Poor",7,"high",104,"31"
"443","8","974","Female","Poor",6,"high",91,"31"
"444","10","975","Female","Rich",10,"high",122,"31"
"445","8","976","Female","Medium",10,"high",130,"31"
"446","6","978","Female","Poor",9,"high",112,"32"
"447","6","980","Male","Poor",7,"high",92,"32"
"448","6","984","Female","Poor",9,"high",105,"32"
"449","6","986","Female","Poor",7,"high",115,"32"
"450","6","990","Male","Rich",6,"high",102,"32"
"451","6","996","Male","Medium",9,"high",107,"32"
"452","6","997","Female","Poor",6,"high",103,"32"
"453","6","999","Female","Poor",7,"high",89,"32"
"454","6","1000","Male","Medium",8,"high",108,"32"
"455","6","1003","Male","Poor",10,"high",124,"32"
"456","6","1005","Female","Poor",9,"high",113,"32"
"457","6","1015","Male","Poor",10,"high",99,"32"
"458","7","1017","Female","Rich",10,"high",113,"32"
"459","6","1019","Male","Medium",10,"high",115,"32"
"460","6","1022","Female","Medium",10,"high",111,"32"
"461","6","1023","Male","Poor",10,"high",116,"32"
"462","6","1024","Male","Poor",6,"high",84,"32"
"463","6","1027","Female","Poor",9,"high",110,"32"
"464","6","1028","Female","Medium",8,"high",110,"32"
"465","6","1030","Female","Poor",6,"high",105,"32"
"466","6","1036","Female","Poor",10,"high",105,"33"
"467","6","1038","Male","Poor",6,"high",101,"33"
"468","6","1040","Male","Medium",10,"high",102,"33"
"469","6","1041","Male","Poor",6,"high",104,"33"
"470","6","1042","Male","Poor",7,"high",106,"33"
"471","6","1045","Female","Poor",10,"high",98,"33"
"472","6","1048","Female","Poor",9,"high",104,"33"
"473","6","1051","Female","Poor",6,"high",92,"33"
"474","6","1060","Female","Poor",8,"high",104,"33"
"475","6","1068","Female","Poor",8,"high",114,"33"
"476","5","1072","Male","Medium",10,"high",110,"34"
"477","5","1076","Female","Medium",10,"high",116,"34"
"478","5","1077","Male","Medium",10,"high",111,"34"
"479","5","1078","Female","Medium",10,"high",109,"34"
"480","5","1080","Male","Poor",10,"high",114,"34"
"481","5","1081","Female","Poor",8,"high",83,"34"
"482","5","1084","Male","Medium",9,"high",100,"34"
"483","5","1085","Female","Poor",8,"high",102,"34"
"484","5","1087","Female","Poor",6,"high",98,"34"
"485","5","1088","Female","Medium",6,"high",103,"34"
"486","5","1089","Female","Medium",10,"high",103,"34"
"487","5","1090","Female","Poor",8,"high",114,"34"
"488","5","1091","Male","Poor",10,"high",94,"34"
"489","5","1092","Male","Poor",9,"high",128,"34"
"490","5","1095","Male","Medium",8,"high",112,"34"
"491","5","1096","Female","Medium",10,"high",111,"34"
"492","5","1098","Female","Medium",10,"high",122,"34"
"493","5","1099","Male","Poor",9,"high",122,"34"
"494","5","1100","Female","Medium",7,"high",96,"34"
"495","5","1102","Male","Poor",10,"high",98,"34"
"496","5","1103","Female","Poor",10,"high",111,"34"
"497","5","1104","Female","Poor",6,"high",95,"34"
"498","5","1105","Female","Medium",10,"high",110,"34"
"499","5","1106","Female","Poor",10,"high",128,"34"
"500","5","1107","Female","Poor",9,"high",95,"34"
"501","5","1109","Male","Poor",10,"high",119,"34"
"502","5","1110","Female","Poor",6,"high",109,"34"
"503","5","1112","Male","Medium",10,"high",116,"34"
"504","3","1115","Male","Poor",7,"high",95,"35"
"505","3","1116","Female","Medium",8,"high",88,"35"
"506","3","1117","Male","Poor",10,"high",103,"35"
"507","3","1119","Female","Poor",9,"high",105,"35"
"508","3","1120","Female","Poor",10,"high",107,"35"
"509","3","1122","Male","Rich",6,"high",117,"35"
"510","3","1123","Male","Poor",6,"high",99,"35"
"511","3","1125","Male","Medium",10,"high",110,"35"
"512","3","1126","Female","Medium",6,"high",88,"35"
"513","3","1128","Male","Poor",10,"high",105,"35"
"514","3","1129","Female","Medium",9,"high",103,"35"
"515","6","1131","Male","Poor",10,"high",113,"35"
"516","3","1133","Female","Poor",7,"high",95,"35"
"517","3","1134","Female","Poor",10,"high",103,"35"
"518","9","1137","Female","Rich",9,"high",111,"36"
"519","9","1138","Female","Poor",7,"high",108,"36"
"520","9","1139","Male","Medium",10,"high",108,"36"
"521","9","1141","Female","Poor",10,"high",104,"36"
"522","9","1143","Male","Poor",8,"high",116,"36"
"523","9","1145","Male","Poor",7,"high",93,"36"
"524","1","1150","Male","Rich",9,"high",107,"36"
"525","9","1153","Male","Medium",7,"high",91,"36"
"526","9","1156","Male","Poor",10,"high",105,"36"
"527","9","1158","Female","Rich",10,"high",105,"36"
"528","9","1162","Male","Poor",6,"high",100,"36"
"529","9","1166","Male","Medium",10,"high",117,"36"
"530","1","1167","Female","Poor",6,"high",83,"36"
"531","1","1169","Female","Poor",8,"high",130,"36"
"532","9","1170","Male","Rich",6,"high",95,"36"
"533","1","1173","Male","Poor",8,"high",111,"37"
"534","1","1174","Male","Poor",10,"high",140,"37"
"535","1","1175","Female","Medium",10,"high",103,"37"
"536","1","1176","Male","Medium",10,"high",131,"37"
"537","1","1178","Female","Poor",9,"high",113,"37"
"538","1","1180","Male","Medium",10,"high",130,"37"
"539","1","1181","Male","Poor",6,"high",108,"37"
"540","1","1182","Female","Medium",9,"high",128,"37"
"541","1","1183","Female","Poor",9,"high",122,"37"
"542","1","1184","Female","Poor",10,"high",122,"37"
"543","1","1185","Female","Medium",10,"high",105,"37"
"544","1","1186","Male","Rich",10,"high",105,"37"
"545","1","1187","Male","Medium",9,"high",101,"37"
"546","1","1188","Female","Poor",7,"high",100,"37"
"547","1","1189","Male","Rich",10,"high",106,"37"
"548","1","1190","Female","Poor",7,"high",88,"37"
"549","1","1191","Male","Poor",7,"high",112,"37"
"550","1","1193","Male","Poor",8,"high",111,"37"
"551","1","1194","Male","Poor",10,"high",116,"37"
"552","1","1195","Male","Poor",10,"high",122,"37"
"553","1","1197","Male","Poor",9,"high",103,"37"
